,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
78,2022-03-21T00:00:00.0000000Z,2022-03-22T00:00:00.0000000Z,2022-03-21T00:00:00.6800000Z,2022-03-21T23:59:57.7800000Z,0.069352,0.071804,0.06915,0.070491,67174.0312,172728
79,2022-03-22T00:00:00.0000000Z,2022-03-23T00:00:00.0000000Z,2022-03-22T00:00:01.7730000Z,2022-03-22T23:59:59.8550000Z,0.07049,0.07145,0.069956,0.070094,82632.6064,195631
80,2022-03-23T00:00:00.0000000Z,2022-03-24T00:00:00.0000000Z,2022-03-23T00:00:01.2060000Z,2022-03-23T23:59:55.8660000Z,0.070094,0.071225,0.06968,0.070801,71862.9004,170995
81,2022-03-24T00:00:00.0000000Z,2022-03-25T00:00:00.0000000Z,2022-03-24T00:00:01.5360000Z,2022-03-24T23:59:56.1470000Z,0.0708,0.071456,0.070313,0.07072,82212.01369999998,185945
82,2022-03-25T00:00:00.0000000Z,2022-03-26T00:00:00.0000000Z,2022-03-25T00:00:00.1730000Z,2022-03-25T23:59:59.3110000Z,0.07072,0.071425,0.069757,0.070012,92361.1966,175302
83,2022-03-26T00:00:00.0000000Z,2022-03-27T00:00:00.0000000Z,2022-03-26T00:00:09.7360000Z,2022-03-26T23:59:53.2170000Z,0.070011,0.070771,0.069803,0.070655,35900.8712,87573
84,2022-03-27T00:00:00.0000000Z,2022-03-28T00:00:00.0000000Z,2022-03-27T00:00:00.4720000Z,2022-03-27T23:59:58.0330000Z,0.070652,0.070956,0.069738,0.070378,59361.47499999999,136931
85,2022-03-28T00:00:00.0000000Z,2022-03-29T00:00:00.0000000Z,2022-03-28T00:00:01.0870000Z,2022-03-28T23:59:59.1160000Z,0.070377,0.071401,0.069738,0.070731,74278.88830000002,176710
86,2022-03-29T00:00:00.0000000Z,2022-03-30T00:00:00.0000000Z,2022-03-29T00:00:00.2180000Z,2022-03-29T23:59:58.9850000Z,0.07073,0.072545,0.070692,0.071693,67850.025,187365
87,2022-03-30T00:00:00.0000000Z,2022-03-31T00:00:00.0000000Z,2022-03-30T00:00:04.4480000Z,2022-03-30T23:59:59.8800000Z,0.071693,0.07228,0.071197,0.071934,53850.729400000004,149578
