time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
2/8/2022 0:01,2/9/2022 0:01,2/8/2022 0:01,2/8/2022 23:59,0.071619,0.072,0.07,0.071,62473.731,175591,2/8/2022,41,49,100,0,100
2/9/2022 0:01,2/10/2022 0:01,2/9/2022 0:01,2/9/2022 23:59,0.07077,0.073,0.071,0.073,61966.397,141779,2/9/2022,40,46,76,7,62
2/10/2022 0:01,2/11/2022 0:01,2/10/2022 0:01,2/10/2022 23:59,0.073096,0.073,0.07,0.071,73001.582,179510,2/10/2022,41,42,50,0,51
2/11/2022 0:01,2/12/2022 0:01,2/11/2022 0:01,2/11/2022 23:59,0.070638,0.072,0.068,0.069,50764.503,143788,2/11/2022,33,34,50,0,0
2/12/2022 0:01,2/13/2022 0:01,2/12/2022 0:01,2/12/2022 23:59,0.069093,0.07,0.068,0.069,47198.196,126870,2/12/2022,34,37,46,0,56
2/13/2022 0:01,2/14/2022 0:01,2/13/2022 0:01,2/13/2022 23:59,0.069134,0.069,0.068,0.068,30706.752,89081,2/13/2022,30,41,39,0,0
2/14/2022 0:01,2/15/2022 0:01,2/14/2022 0:01,2/14/2022 23:59,0.068269,0.069,0.068,0.069,40430.162,109111,2/14/2022,28,33,41,6,54
2/15/2022 0:01,2/16/2022 0:01,2/15/2022 0:01,2/15/2022 23:59,0.068876,0.072,0.069,0.071,51568.12,125707,2/15/2022,35,34,48,0,46
2/16/2022 0:01,2/17/2022 0:01,2/16/2022 0:01,2/16/2022 23:59,0.071473,0.072,0.07,0.071,43362.483,118757,2/16/2022,35,40,51,0,62
2/17/2022 0:01,2/18/2022 0:01,2/17/2022 0:01,2/17/2022 23:59,0.071161,0.072,0.07,0.071,52729.082,161220,2/17/2022,31,39,63,5,51
