time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,fng_classification,fng,trend_date,bitcoin,ethereum,xrp,bitcoin_crash,bitcoin_trust
3/1/2022 0:01,3/2/2022 0:01,3/1/2022 0:01,3/1/2022 23:59,0.067672,0.068,0.066,0.067,51,Neutral,3/1/2022,40,38,55,0,41
3/2/2022 0:01,3/3/2022 0:01,3/2/2022 0:01,3/2/2022 23:59,0.066998,0.068,0.066,0.067,52,Neutral,3/2/2022,43,40,46,0,46
3/3/2022 0:01,3/4/2022 0:01,3/3/2022 0:01,3/3/2022 23:59,0.067144,0.067,0.066,0.067,39,Fear,3/3/2022,36,34,44,0,46
3/4/2022 0:01,3/5/2022 0:01,3/4/2022 0:01,3/4/2022 23:59,0.066755,0.067,0.065,0.067,33,Fear,3/4/2022,37,31,46,5,61
3/5/2022 0:01,3/6/2022 0:01,3/5/2022 0:01,3/5/2022 23:59,0.066983,0.068,0.067,0.068,22,Extreme Fear,3/5/2022,31,31,42,0,41
3/6/2022 0:01,3/7/2022 0:01,3/6/2022 0:01,3/6/2022 23:59,0.067655,0.068,0.066,0.066,22,Extreme Fear,3/6/2022,27,27,41,0,0
3/7/2022 0:01,3/8/2022 0:01,3/7/2022 0:01,3/7/2022 23:59,0.066396,0.068,0.065,0.066,23,Extreme Fear,3/7/2022,26,24,46,0,43
3/8/2022 0:01,3/9/2022 0:01,3/8/2022 0:01,3/8/2022 23:59,0.065575,0.067,0.065,0.067,21,Extreme Fear,3/8/2022,32,32,44,0,48
3/9/2022 0:01,3/10/2022 0:01,3/9/2022 0:01,3/9/2022 23:59,0.06651,0.067,0.064,0.065,22,Extreme Fear,3/9/2022,34,30,51,0,39
3/10/2022 0:01,3/11/2022 0:01,3/10/2022 0:01,3/10/2022 23:59,0.065016,0.067,0.065,0.066,28,Fear,3/10/2022,39,36,47,0,45
3/11/2022 0:01,3/12/2022 0:01,3/11/2022 0:01,3/11/2022 23:59,0.066123,0.067,0.066,0.066,22,Extreme Fear,3/11/2022,35,32,64,0,0
3/12/2022 0:01,3/13/2022 0:01,3/12/2022 0:01,3/12/2022 23:59,0.066016,0.067,0.066,0.066,22,Extreme Fear,3/12/2022,30,27,77,0,0
3/13/2022 0:01,3/14/2022 0:01,3/13/2022 0:01,3/13/2022 23:59,0.066197,0.067,0.066,0.067,21,Extreme Fear,3/13/2022,26,24,51,0,47
3/14/2022 0:01,3/15/2022 0:01,3/14/2022 0:01,3/14/2022 23:59,0.066588,0.067,0.065,0.065,23,Extreme Fear,3/14/2022,24,23,50,7,0
3/15/2022 0:01,3/16/2022 0:01,3/15/2022 0:01,3/15/2022 23:59,0.065276,0.067,0.065,0.067,21,Extreme Fear,3/15/2022,30,28,45,0,0
3/16/2022 0:01,3/17/2022 0:01,3/16/2022 0:01,3/16/2022 23:59,0.06664,0.068,0.065,0.067,24,Extreme Fear,3/16/2022,27,26,46,0,0
3/17/2022 0:01,3/18/2022 0:01,3/17/2022 0:01,3/17/2022 23:59,0.067468,0.069,0.067,0.069,27,Fear,3/17/2022,29,30,44,0,37
3/18/2022 0:01,3/19/2022 0:01,3/18/2022 0:01,3/18/2022 23:59,0.068726,0.071,0.068,0.07,25,Extreme Fear,3/18/2022,27,28,46,6,37
3/19/2022 0:01,3/20/2022 0:01,3/19/2022 0:01,3/19/2022 23:59,0.070377,0.071,0.069,0.07,28,Fear,3/19/2022,26,30,48,0,41
3/20/2022 0:01,3/21/2022 0:01,3/20/2022 0:01,3/20/2022 23:59,0.069915,0.07,0.069,0.069,31,Fear,3/20/2022,25,30,43,0,42
3/21/2022 0:01,3/22/2022 0:01,3/21/2022 0:01,3/21/2022 23:59,0.069352,0.072,0.069,0.07,30,Fear,3/21/2022,24,31,60,0,0
3/22/2022 0:01,3/23/2022 0:01,3/22/2022 0:01,3/22/2022 23:59,0.07049,0.071,0.07,0.07,26,Fear,3/22/2022,25,29,64,0,0
3/23/2022 0:01,3/24/2022 0:01,3/23/2022 0:01,3/23/2022 23:59,0.070094,0.071,0.07,0.071,31,Fear,3/23/2022,28,38,52,0,54
